id,name,short_description,category,price,stock_status,materials,personalization,lead_time_days,colors,tags,permalink,image_url
1,Botella Termica Acero 750ml,Botella termica de acero inoxidable doble pared. Mantiene frio 24hs y calor 12hs. Tapa rosca con agarre.,Botellas y Termos,8500,instock,acero inoxidable,serigrafia;grabado_laser,10,negro;blanco;azul;rojo,botella;termica;acero;corporativo,
2,Botella Termica Premium 1L,Botella premium de acero inoxidable 1 litro. Acabado mate. Tapa sport con pico.,Botellas y Termos,12500,instock,acero inoxidable,grabado_laser,10,negro;plata;azul oscuro,botella;termica;premium;ejecutivo,
3,Botella Tritan 600ml,Botella de plastico tritan libre de BPA. Liviana y resistente. Tapa flip con traba.,Botellas y Termos,3200,instock,tritan,serigrafia;sublimacion,7,transparente;azul;verde;rosa,botella;plastica;economica;deporte,
4,Mate Acero Inoxidable,Mate de acero inoxidable con bombilla incluida. Terminacion premium.,Mates,7800,instock,acero inoxidable,grabado_laser,12,negro;plateado,mate;bombilla;argentino;regalo,
5,Taza Ceramica 350ml,Taza de ceramica clasica con interior blanco. Apta microondas.,Tazas,2800,instock,ceramica,sublimacion,7,blanco;negro,taza;ceramica;oficina;sublimable,
6,Mochila Urbana 20L,Mochila urbana con compartimento para notebook 15 pulgadas. Bolsillo frontal y laterales.,Mochilas y Bolsos,15000,instock,poliester 600D,serigrafia;bordado,15,negro;gris;azul,mochila;notebook;urbana;corporativo,
7,Mochila Ejecutiva Cuero Sintetico,Mochila ejecutiva en cuero sintetico con porta notebook acolchado. Bolsillo antirrobo.,Mochilas y Bolsos,22000,instock,cuero sintetico,grabado_laser;bordado,18,negro;marron,mochila;ejecutiva;premium;cuero,
8,Totebag Algodon Organico,Totebag de algodon organico 100%. Asas largas reforzadas. Bolsillo interno.,Mochilas y Bolsos,3500,instock,algodon organico,serigrafia;sublimacion;transfer,5,crudo;negro;azul,totebag;ecologico;sustentable;feria,
9,Rinonera Deportiva,Rinonera deportiva con cierre resistente al agua. Correa ajustable.,Mochilas y Bolsos,5500,instock,nylon,serigrafia;sublimacion,8,negro;rojo;azul,rinonera;deporte;activacion,
10,Remera Algodon 24/1,Remera unisex algodon peinado 24/1. Cuello redondo reforzado.,Indumentaria,4500,instock,algodon peinado,serigrafia;sublimacion;vinilo,7,blanco;negro;gris;azul;rojo,remera;basica;algodon;evento,
11,Remera Dry-Fit Deportiva,Remera deportiva dry-fit con costuras planas. Secado rapido.,Indumentaria,5800,instock,poliester dry-fit,sublimacion,7,blanco;negro;azul;amarillo;rojo,remera;deportiva;maraton;dry-fit,
12,Chomba Pique Algodon,Chomba polo clasica en pique de algodon. Cuello y punos acanalados.,Indumentaria,7200,instock,algodon pique,bordado;serigrafia,10,blanco;negro;azul;celeste,chomba;polo;corporativo;uniforme,
13,Gorra Trucker,Gorra trucker con frente rigido y red trasera. Broche snapback.,Indumentaria,3800,instock,algodon;poliester,bordado;serigrafia;transfer,8,negro;blanco;azul;rojo,gorra;trucker;deporte;outdoor,
14,Campera Softshell,Campera softshell con interior micropolar. Resistente al agua y viento.,Indumentaria,18500,low_stock,softshell,bordado;serigrafia,20,negro;azul;gris,campera;softshell;outdoor;premium;invierno,
